anno,squadra,giocate,punti,vittorie,pareggi,sconfitte,GF,GS,VC,PC,SC,GF_CASA,GS_CASA,VT,PT,ST,GF_TRASF,GS_TRASF
2017,JUVENTUS,38,95,30,5,3,86,24,16,1,2,45,8,14,4,1,41,16
2017,NAPOLI,38,91,28,7,3,77,29,14,3,2,43,18,14,4,1,34,11
2017,ROMA,38,77,23,8,7,61,28,11,2,6,31,19,12,6,1,30,9
2017,LAZIO,38,72,21,9,8,89,49,9,5,5,45,21,12,4,3,44,28
2017,INTER,38,72,20,12,6,66,30,11,5,3,37,16,9,7,3,29,14
2017,MILAN,38,64,18,10,10,56,42,10,5,4,25,16,8,5,6,31,26
2017,ATALANTA,38,60,16,12,10,57,39,9,6,4,30,18,7,6,6,27,21
2017,FIORENTINA,38,57,16,9,13,54,46,8,5,6,27,22,8,4,7,27,24
2017,TORINO,38,54,13,15,10,54,46,8,6,5,29,18,5,9,5,25,28
2017,SAMPDORIA,38,54,16,6,16,56,60,12,3,4,36,20,4,3,12,20,40
2017,SASSUOLO,38,43,11,10,17,29,59,4,7,8,11,22,7,3,9,18,37
2017,GENOA,38,41,11,8,19,33,43,6,3,10,23,27,5,5,9,10,16
2017,UDINESE,38,40,12,4,22,48,63,6,2,11,24,30,6,2,11,24,33
2017,CHIEVO,38,40,10,10,18,36,59,7,6,6,22,24,3,4,12,14,35
2017,CAGLIARI,38,39,11,6,21,33,61,6,3,10,18,30,5,3,11,15,31
2017,BOLOGNA,38,39,11,6,21,40,52,6,4,9,25,26,5,2,12,15,26
2017,SPAL,38,38,8,14,16,39,59,5,8,6,22,29,3,6,10,17,30
2017,CROTONE,38,35,9,8,21,40,66,6,6,7,23,25,3,2,14,17,41
2017,VERONA,38,25,7,4,27,30,78,5,1,13,14,35,2,3,14,16,43
2017,BENEVENTO,38,21,6,3,29,33,84,5,2,12,23,40,1,1,17,10,44
2016,JUVENTUS,38,91,29,4,5,77,27,18,1,0,48,9,11,3,5,29,18
2016,ROMA,38,87,28,3,7,90,38,16,1,2,50,18,12,2,5,40,20
2016,NAPOLI,38,86,26,8,4,94,39,13,4,2,44,19,13,4,2,50,20
2016,ATALANTA,38,72,21,9,8,62,41,12,4,3,31,18,9,5,5,31,23
2016,LAZIO,38,70,21,7,10,74,51,12,2,5,40,23,9,5,5,34,28
2016,MILAN,38,63,18,9,11,57,45,12,2,5,32,20,6,7,6,25,25
2016,INTER,38,62,19,5,14,72,49,11,3,5,44,22,8,2,9,28,27
2016,FIORENTINA,38,60,16,12,10,63,57,10,8,1,34,23,6,4,9,29,34
2016,TORINO,38,53,13,14,11,71,66,9,8,2,43,31,4,6,9,28,35
